s (1,1) 9
(49,17) (48,17) 91
(49,17) (50,17) 105
(50,17) (49,17) 83
(50,17) (51,17) 25
(51,17) (50,17) 50
(51,17) (52,17) 38
(52,17) (51,17) 132
(52,17) (53,17) 94
(53,17) (52,17) 46
(53,17) (54,17) 148
(54,17) (53,17) 29
(54,17) (55,17) 80
(55,17) (54,17) 56
(55,17) (56,17) 175
(56,17) (55,17) 175
(56,17) (57,17) 114
(57,17) (56,17) 133
(57,17) (58,17) 116
(58,17) (57,17) 199
(58,17) (59,17) 62
(59,17) (58,17) 146
(59,17) (60,17) 6
(60,17) (59,17) 14
(60,17) (61,17) 69
(61,17) (60,17) 33
(61,17) (62,17) 163
(62,17) (61,17) 64
(62,17) (63,17) 173
(63,17) (62,17) 95
(63,17) (64,17) 100
(64,17) (63,17) 80
(64,17) (65,17) 42
(65,17) (64,17) 121
(65,17) (66,17) 25
(66,17) (65,17) 140
(66,17) (67,17) 147
(67,17) (66,17) 91
(67,17) (68,17) 82
(68,17) (67,17) 50
(68,17) (69,17) 189
(69,17) (68,17) 60
(69,17) (70,17) 107
(70,17) (69,17) 31
(70,17) (71,17) 13
(71,17) (70,17) 97
(71,17) (72,17) 127
(72,17) (71,17) 191
(72,17) (73,17) 102
(73,17) (72,17) 117
(73,17) (74,17) 29
(74,17) (73,17) 55
(74,17) (75,17) 146
(75,17) (74,17) 178
(75,17) (76,17) 40
(76,17) (75,17) 178
(76,17) (77,17) 173
(77,17) (76,17) 111
(77,17) (78,17) 104
(78,17) (77,17) 51
(78,17) (79,17) 69
(79,17) (78,17) 38
(79,17) (80,17) 150
(80,17) (79,17) 16
(80,17) (81,17) 198
(81,17) (80,17) 161
(81,17) (82,17) 100
(82,17) (81,17) 128
(82,17) (83,17) 35
(83,17) (82,17) 160
(83,17) (84,17) 139
(84,17) (83,17) 9
(84,17) (85,17) 55
(85,17) (84,17) 9
(85,17) (86,17) 142
(86,17) (85,17) 184
(86,17) (87,17) 49
(87,17) (86,17) 124
(87,17) (88,17) 84
(88,17) (87,17) 142
(88,17) (89,17) 117
(89,17) (88,17) 106
(89,17) (90,17) 155
(90,17) (89,17) 115
(90,17) (91,17) 46
(91,17) (90,17) 58
(91,17) (92,17) 136
(92,17) (91,17) 41
(92,17) (93,17) 114
(93,17) (92,17) 87
(93,17) (94,17) 131
(94,17) (93,17) 8
(94,17) (95,17) 47
(95,17) (94,17) 178
(95,17) (96,17) 94
(96,17) (95,17) 33
(96,17) (97,17) 129
(97,17) (96,17) 135
(97,17) (98,17) 134
(98,17) (97,17) 42
(98,17) (99,17) 125
(99,17) (98,17) 30
(99,17) (100,17) 11
(100,17) (99,17) 53
(100,17) (101,17) 183
(101,17) (100,17) 9
(101,17) (102,17) 18
(102,17) (101,17) 21
(102,17) (103,17) 8
(103,17) (102,17) 165
(103,17) (104,17) 17
(104,17) (103,17) 38
(104,17) (105,17) 148
(105,17) (104,17) 119
(105,17) (106,17) 154
(106,17) (105,17) 79
(106,17) (107,17) 191
(107,17) (106,17) 92
(107,17) (108,17) 121
(108,17) (107,17) 47
(108,17) (109,17) 200
(109,17) (108,17) 92
(109,17) (110,17) 127
(110,17) (109,17) 57
(110,17) (111,17) 125
(111,17) (110,17) 149
(111,17) (112,17) 81
(112,17) (111,17) 174
(112,17) (113,17) 174
(113,17) (112,17) 80
(113,17) (114,17) 67
(114,17) (113,17) 78
(114,17) (115,17) 198
(115,17) (114,17) 145
(115,17) (116,17) 190
(116,17) (115,17) 34
(116,17) (117,17) 3
(117,17) (116,17) 176
(117,17) (118,17) 9
(118,17) (117,17) 65
(118,17) (119,17) 111
(119,17) (118,17) 39
(119,17) (120,17) 123
(120,17) (119,17) 44
(120,17) (121,17) 47
(121,17) (120,17) 184
(121,17) (122,17) 54
(122,17) (121,17) 144
(122,17) (123,17) 184
(123,17) (122,17) 37
(123,17) (124,17) 7
(124,17) (123,17) 48
(124,17) (125,17) 90
(125,17) (124,17) 123
(125,17) (126,17) 58
(126,17) (125,17) 5
(126,17) (127,17) 69
(127,17) (126,17) 67
(127,17) (128,17) 35
(128,17) (127,17) 155
(128,17) (129,17) 160
(129,17) (128,17) 6
(129,17) (130,17) 175
(130,17) (129,17) 56
(130,17) (131,17) 104
(131,17) (130,17) 109
(131,17) (132,17) 97
(132,17) (131,17) 28
(132,17) (133,17) 189
(133,17) (132,17) 27
(133,17) (134,17) 160
(134,17) (133,17) 40
(134,17) (135,17) 145
(135,17) (134,17) 103
(135,17) (136,17) 142
(136,17) (135,17) 68
(136,17) (137,17) 153
(137,17) (136,17) 145
(137,17) (138,17) 147
(138,17) (137,17) 113
(138,17) (139,17) 150
(139,17) (138,17) 200
(139,17) (140,17) 48
(140,17) (139,17) 120
(140,17) (141,17) 93
(141,17) (140,17) 94
(141,17) (142,17) 7
(142,17) (141,17) 125
(142,17) (143,17) 10
(143,17) (142,17) 17
(143,17) (144,17) 103
(144,17) (143,17) 123
(144,17) (145,17) 44
(145,17) (144,17) 87
(145,17) (146,17) 142
(146,17) (145,17) 125
(146,17) (147,17) 9
(147,17) (146,17) 141
(147,17) (148,17) 55
(148,17) (147,17) 39
(148,17) (149,17) 194
(149,17) (148,17) 28
(149,17) (150,17) 12
(150,17) (149,17) 103
(1,18) (2,18) 170
(2,18) (1,18) 169
(2,18) (3,18) 37
(3,18) (2,18) 59
(3,18) (4,18) 184
(4,18) (3,18) 167
(4,18) (5,18) 165
(5,18) (4,18) 135
(5,18) (6,18) 27
(6,18) (5,18) 138
(6,18) (7,18) 117
(7,18) (6,18) 59
(7,18) (8,18) 181
(8,18) (7,18) 179
(8,18) (9,18) 122
(9,18) (8,18) 183
(9,18) (10,18) 168
(10,18) (9,18) 107
(10,18) (11,18) 138
(11,18) (10,18) 52
(11,18) (12,18) 166
(12,18) (11,18) 54
(12,18) (13,18) 196
(13,18) (12,18) 105
(13,18) (14,18) 125
(14,18) (13,18) 94
(14,18) (15,18) 173
(15,18) (14,18) 182
(15,18) (16,18) 166
(16,18) (15,18) 97
(16,18) (17,18) 63
(17,18) (16,18) 185
(17,18) (18,18) 198
(18,18) (17,18) 32
(18,18) (19,18) 180
(19,18) (18,18) 98
(19,18) (20,18) 134
(20,18) (19,18) 12
(20,18) (21,18) 16
(21,18) (20,18) 69
(21,18) (22,18) 53
(22,18) (21,18) 55
(22,18) (23,18) 45
(23,18) (22,18) 140
(23,18) (24,18) 126
(24,18) (23,18) 92
(24,18) (25,18) 31
(25,18) (24,18) 118
(25,18) (26,18) 172
(26,18) (25,18) 133
(26,18) (27,18) 23
(27,18) (26,18) 200
(27,18) (28,18) 33
(28,18) (27,18) 135
(28,18) (29,18) 126
(29,18) (28,18) 151
(29,18) (30,18) 54
(30,18) (29,18) 172
(30,18) (31,18) 79
(31,18) (30,18) 175
(31,18) (32,18) 149
(32,18) (31,18) 108
(32,18) (33,18) 159
(33,18) (32,18) 162
(33,18) (34,18) 122
(34,18) (33,18) 137
(34,18) (35,18) 128
(35,18) (34,18) 64
(35,18) (36,18) 88
(36,18) (35,18) 14
(36,18) (37,18) 144
(37,18) (36,18) 112
(37,18) (38,18) 32
(38,18) (37,18) 2
(38,18) (39,18) 49
(39,18) (38,18) 185
(39,18) (40,18) 59
(40,18) (39,18) 15
(40,18) (41,18) 18
(41,18) (40,18) 135
(41,18) (42,18) 25
(42,18) (41,18) 138
(42,18) (43,18) 131
(43,18) (42,18) 125
(43,18) (44,18) 90
(44,18) (43,18) 191
(44,18) (45,18) 158
(45,18) (44,18) 179
(45,18) (46,18) 98
(46,18) (45,18) 138
(46,18) (47,18) 192
(47,18) (46,18) 36
(47,18) (48,18) 66
(48,18) (47,18) 51
(48,18) (49,18) 102
(49,18) (48,18) 23
(49,18) (50,18) 9
(50,18) (49,18) 79
(50,18) (51,18) 77
(51,18) (50,18) 48
(51,18) (52,18) 2
(52,18) (51,18) 112
(52,18) (53,18) 82
(53,18) (52,18) 59
(53,18) (54,18) 102
(54,18) (53,18) 185
(54,18) (55,18) 8
(55,18) (54,18) 196
(55,18) (56,18) 90
(56,18) (55,18) 199
(56,18) (57,18) 15
(57,18) (56,18) 85
(57,18) (58,18) 67
(58,18) (57,18) 183
(58,18) (59,18) 97
(59,18) (58,18) 149
(59,18) (60,18) 94
(60,18) (59,18) 144
(60,18) (61,18) 65
(61,18) (60,18) 193
(61,18) (62,18) 140
(62,18) (61,18) 141
(62,18) (63,18) 157
(63,18) (62,18) 18
(63,18) (64,18) 18
(64,18) (63,18) 186
(64,18) (65,18) 42
(65,18) (64,18) 124
(65,18) (66,18) 199
(66,18) (65,18) 15
(66,18) (67,18) 46
(67,18) (66,18) 22
(67,18) (68,18) 135
(68,18) (67,18) 198
(68,18) (69,18) 112
(69,18) (68,18) 26
(69,18) (70,18) 93
(70,18) (69,18) 37
(70,18) (71,18) 164
(71,18) (70,18) 50
(71,18) (72,18) 5
(72,18) (71,18) 73
(72,18) (73,18) 58
(73,18) (72,18) 21
(73,18) (74,18) 30
(74,18) (73,18) 127
(74,18) (75,18) 54
(75,18) (74,18) 157
(75,18) (76,18) 31
(76,18) (75,18) 168
(76,18) (77,18) 179
(77,18) (76,18) 190
(77,18) (78,18) 65
(78,18) (77,18) 48
(78,18) (79,18) 113
(79,18) (78,18) 62
(79,18) (80,18) 49
(80,18) (79,18) 107
(80,18) (81,18) 85
(81,18) (80,18) 147
(81,18) (82,18) 25
(82,18) (81,18) 5
(82,18) (83,18) 183
(83,18) (82,18) 165
(83,18) (84,18) 156
(84,18) (83,18) 76
(84,18) (85,18) 151
(85,18) (84,18) 10
(85,18) (86,18) 16
(86,18) (85,18) 53
(86,18) (87,18) 9
(87,18) (86,18) 15
(87,18) (88,18) 73
(88,18) (87,18) 135
(88,18) (89,18) 64
(89,18) (88,18) 138
(89,18) (90,18) 103
(90,18) (89,18) 63
(90,18) (91,18) 142
(91,18) (90,18) 97
(91,18) (92,18) 1
(92,18) (91,18) 89
(92,18) (93,18) 200
(93,18) (92,18) 150
(93,18) (94,18) 51
(94,18) (93,18) 161
(94,18) (95,18) 72
(95,18) (94,18) 34
(95,18) (96,18) 147
(96,18) (95,18) 67
(96,18) (97,18) 53
(97,18) (96,18) 82
(97,18) (98,18) 122
(98,18) (97,18) 197
(98,18) (99,18) 30
(99,18) (98,18) 115
(99,18) (100,18) 109
(100,18) (99,18) 70
(100,18) (101,18) 171
(101,18) (100,18) 6
(101,18) (102,18) 3
(102,18) (101,18) 147
(102,18) (103,18) 68
(103,18) (102,18) 16
(103,18) (104,18) 129
(104,18) (103,18) 126
(104,18) (105,18) 51
(105,18) (104,18) 128
(105,18) (106,18) 129
(106,18) (105,18) 91
(106,18) (107,18) 36
(107,18) (106,18) 29
(107,18) (108,18) 34
(108,18) (107,18) 33
(108,18) (109,18) 45
(109,18) (108,18) 156
(109,18) (110,18) 144
(110,18) (109,18) 105
(110,18) (111,18) 192
(111,18) (110,18) 123
(111,18) (112,18) 20
(112,18) (111,18) 127
(112,18) (113,18) 85
(113,18) (112,18) 117
(113,18) (114,18) 70
(114,18) (113,18) 162
(114,18) (115,18) 164
(115,18) (114,18) 42
(115,18) (116,18) 86
(116,18) (115,18) 97
(116,18) (117,18) 49
(117,18) (116,18) 58
(117,18) (118,18) 91
(118,18) (117,18) 27
(118,18) (119,18) 8
(119,18) (118,18) 175
(119,18) (120,18) 179
(120,18) (119,18) 171
(120,18) (121,18) 48
(121,18) (120,18) 196
(121,18) (122,18) 161
(122,18) (121,18) 127
(122,18) (123,18) 28
(123,18) (122,18) 53
(123,18) (124,18) 68
(124,18) (123,18) 123
(124,18) (125,18) 36
(125,18) (124,18) 68
(125,18) (126,18) 11
(126,18) (125,18) 23
(126,18) (127,18) 194
(127,18) (126,18) 45
(127,18) (128,18) 63
(128,18) (127,18) 194
(128,18) (129,18) 96
(129,18) (128,18) 55
(129,18) (130,18) 17
(130,18) (129,18) 17
(130,18) (131,18) 184
(131,18) (130,18) 16
(131,18) (132,18) 75
(132,18) (131,18) 95
(132,18) (133,18) 3
(133,18) (132,18) 27
(133,18) (134,18) 75
(134,18) (133,18) 75
(134,18) (135,18) 90
(135,18) (134,18) 16
(135,18) (136,18) 9
(136,18) (135,18) 65
(136,18) (137,18) 107
(137,18) (136,18) 153
(137,18) (138,18) 153
(138,18) (137,18) 46
(138,18) (139,18) 147
(139,18) (138,18) 197
(139,18) (140,18) 68
(140,18) (139,18) 156
(140,18) (141,18) 10
(141,18) (140,18) 163
(141,18) (142,18) 161
(142,18) (141,18) 149
(142,18) (143,18) 37
(143,18) (142,18) 28
(143,18) (144,18) 153
(144,18) (143,18) 79
(144,18) (145,18) 148
(145,18) (144,18) 140
(145,18) (146,18) 104
(146,18) (145,18) 189
(146,18) (147,18) 11
(147,18) (146,18) 7
(147,18) (148,18) 47
(148,18) (147,18) 22
(148,18) (149,18) 110
(149,18) (148,18) 189
(149,18) (150,18) 31
(150,18) (149,18) 149
(1,19) (2,19) 94
(2,19) (1,19) 73
(2,19) (3,19) 80
(3,19) (2,19) 196
(3,19) (4,19) 128
(4,19) (3,19) 100
(4,19) (5,19) 111
(5,19) (4,19) 29
(5,19) (6,19) 21
(6,19) (5,19) 48
(6,19) (7,19) 158
(7,19) (6,19) 198
(7,19) (8,19) 44
(8,19) (7,19) 68
(8,19) (9,19) 117
(9,19) (8,19) 8
(9,19) (10,19) 34
(10,19) (9,19) 76
(10,19) (11,19) 22
(11,19) (10,19) 133
(11,19) (12,19) 196
(12,19) (11,19) 105
(12,19) (13,19) 94
(13,19) (12,19) 35
(13,19) (14,19) 36
(14,19) (13,19) 100
(14,19) (15,19) 192
(15,19) (14,19) 89
(15,19) (16,19) 111
(16,19) (15,19) 42
(16,19) (17,19) 11
(17,19) (16,19) 69
(17,19) (18,19) 63
(18,19) (17,19) 173
(18,19) (19,19) 36
(19,19) (18,19) 176
(19,19) (20,19) 148
(20,19) (19,19) 184
(20,19) (21,19) 86
(21,19) (20,19) 191
(21,19) (22,19) 37
(22,19) (21,19) 172
(22,19) (23,19) 189
(23,19) (22,19) 7
(23,19) (24,19) 92
(24,19) (23,19) 179
(24,19) (25,19) 27
(25,19) (24,19) 179
(25,19) (26,19) 72
(26,19) (25,19) 152
(26,19) (27,19) 162
(27,19) (26,19) 117
(27,19) (28,19) 116
(28,19) (27,19) 33
(28,19) (29,19) 120
(29,19) (28,19) 135
(29,19) (30,19) 76
(30,19) (29,19) 27
(30,19) (31,19) 128
(31,19) (30,19) 84
(31,19) (32,19) 88
(32,19) (31,19) 9
(32,19) (33,19) 180
(33,19) (32,19) 25
(33,19) (34,19) 177
(34,19) (33,19) 16
(34,19) (35,19) 120
(35,19) (34,19) 129
(35,19) (36,19) 1
(36,19) (35,19) 25
(36,19) (37,19) 59
(37,19) (36,19) 129
(37,19) (38,19) 87
(38,19) (37,19) 171
(38,19) (39,19) 119
(39,19) (38,19) 65
(39,19) (40,19) 63
(40,19) (39,19) 117
(40,19) (41,19) 15
(41,19) (40,19) 67
(41,19) (42,19) 25
(42,19) (41,19) 150
(42,19) (43,19) 16
(43,19) (42,19) 36
(43,19) (44,19) 16
(44,19) (43,19) 33
(44,19) (45,19) 184
(45,19) (44,19) 100
(45,19) (46,19) 34
(46,19) (45,19) 32
(46,19) (47,19) 51
(47,19) (46,19) 76
(47,19) (48,19) 191
(48,19) (47,19) 27
(48,19) (49,19) 5
(49,19) (48,19) 2
(49,19) (50,19) 186
(50,19) (49,19) 45
(50,19) (51,19) 82
(51,19) (50,19) 4
(51,19) (52,19) 140
(52,19) (51,19) 196
(52,19) (53,19) 176
(53,19) (52,19) 55
(53,19) (54,19) 8
(54,19) (53,19) 67
(54,19) (55,19) 134
(55,19) (54,19) 98
(55,19) (56,19) 50
(56,19) (55,19) 109
(56,19) (57,19) 134
(57,19) (56,19) 124
(57,19) (58,19) 169
(58,19) (57,19) 120
(58,19) (59,19) 149
(59,19) (58,19) 119
(59,19) (60,19) 51
(60,19) (59,19) 36
(60,19) (61,19) 180
(61,19) (60,19) 199
(61,19) (62,19) 16
(62,19) (61,19) 23
(62,19) (63,19) 143
(63,19) (62,19) 43
(63,19) (64,19) 126
(64,19) (63,19) 158
(64,19) (65,19) 122
(65,19) (64,19) 39
(65,19) (66,19) 195
(66,19) (65,19) 106
(66,19) (67,19) 180
(67,19) (66,19) 147
(67,19) (68,19) 66
(68,19) (67,19) 108
(68,19) (69,19) 139
(69,19) (68,19) 172
(69,19) (70,19) 20
(70,19) (69,19) 134
(70,19) (71,19) 31
(71,19) (70,19) 53
(71,19) (72,19) 191
(72,19) (71,19) 120
(72,19) (73,19) 19
(73,19) (72,19) 114
(73,19) (74,19) 149
(74,19) (73,19) 148
(74,19) (75,19) 197
(75,19) (74,19) 160
(75,19) (76,19) 99
(76,19) (75,19) 110
(76,19) (77,19) 151
(77,19) (76,19) 156
(77,19) (78,19) 42
(78,19) (77,19) 155
(78,19) (79,19) 126
(79,19) (78,19) 55
(79,19) (80,19) 99
(80,19) (79,19) 78
(80,19) (81,19) 96
(81,19) (80,19) 2
(81,19) (82,19) 74
(82,19) (81,19) 25
(82,19) (83,19) 123
(83,19) (82,19) 148
(83,19) (84,19) 125
(84,19) (83,19) 134
(84,19) (85,19) 128
(85,19) (84,19) 101
(85,19) (86,19) 142
(86,19) (85,19) 17
(86,19) (87,19) 78
(87,19) (86,19) 102
(87,19) (88,19) 92
(88,19) (87,19) 105
(88,19) (89,19) 162
(89,19) (88,19) 104
(89,19) (90,19) 136
(90,19) (89,19) 140
(90,19) (91,19) 196
(91,19) (90,19) 149
(91,19) (92,19) 27
(92,19) (91,19) 36
(92,19) (93,19) 134
(93,19) (92,19) 62
(93,19) (94,19) 141
(94,19) (93,19) 194
(94,19) (95,19) 101
(95,19) (94,19) 170
(95,19) (96,19) 176
(96,19) (95,19) 109
(96,19) (97,19) 186
(97,19) (96,19) 200
(97,19) (98,19) 27
(98,19) (97,19) 111
(98,19) (99,19) 162
(99,19) (98,19) 138
(99,19) (100,19) 130
(100,19) (99,19) 157
(100,19) (101,19) 33
(101,19) (100,19) 174
(101,19) (102,19) 123
(102,19) (101,19) 168
(102,19) (103,19) 158
(103,19) (102,19) 170
(103,19) (104,19) 188
(104,19) (103,19) 117
(104,19) (105,19) 112
(105,19) (104,19) 139
(105,19) (106,19) 191
(106,19) (105,19) 141
(106,19) (107,19) 158
(107,19) (106,19) 113
(107,19) (108,19) 167
(108,19) (107,19) 153
(108,19) (109,19) 195
(109,19) (108,19) 115
(109,19) (110,19) 157
(110,19) (109,19) 159
(110,19) (111,19) 32
(111,19) (110,19) 130
(111,19) (112,19) 139
(112,19) (111,19) 34
(112,19) (113,19) 180
(113,19) (112,19) 101
(113,19) (114,19) 49
(114,19) (113,19) 160
(114,19) (115,19) 23
(115,19) (114,19) 57
(115,19) (116,19) 134
(116,19) (115,19) 165
(116,19) (117,19) 28
(117,19) (116,19) 130
(117,19) (118,19) 86
(118,19) (117,19) 191
(118,19) (119,19) 84
(119,19) (118,19) 67
(119,19) (120,19) 194
(120,19) (119,19) 167
(120,19) (121,19) 7
(121,19) (120,19) 22
(121,19) (122,19) 174
(122,19) (121,19) 27
(122,19) (123,19) 198
(123,19) (122,19) 160
(123,19) (124,19) 139
(124,19) (123,19) 66
(124,19) (125,19) 36
(125,19) (124,19) 4
(125,19) (126,19) 149
(126,19) (125,19) 53
(126,19) (127,19) 107
(127,19) (126,19) 122
(127,19) (128,19) 110
(128,19) (127,19) 158
(128,19) (129,19) 82
(129,19) (128,19) 140
(129,19) (130,19) 89
(130,19) (129,19) 80
(130,19) (131,19) 84
(131,19) (130,19) 197
(131,19) (132,19) 163
(132,19) (131,19) 43
(132,19) (133,19) 92
(133,19) (132,19) 14
(133,19) (134,19) 52
(134,19) (133,19) 130
(134,19) (135,19) 76
(135,19) (134,19) 183
(135,19) (136,19) 60
(136,19) (135,19) 107
(136,19) (137,19) 181
(137,19) (136,19) 62
(137,19) (138,19) 200
(138,19) (137,19) 122
(138,19) (139,19) 33
(139,19) (138,19) 31
(139,19) (140,19) 179
(140,19) (139,19) 186
(140,19) (141,19) 148
(141,19) (140,19) 48
(141,19) (142,19) 121
(142,19) (141,19) 34
(142,19) (143,19) 97
(143,19) (142,19) 103
(143,19) (144,19) 71
(144,19) (143,19) 15
(144,19) (145,19) 193
(145,19) (144,19) 194
(145,19) (146,19) 166
(146,19) (145,19) 123
(146,19) (147,19) 142
(147,19) (146,19) 99
(147,19) (148,19) 183
(148,19) (147,19) 130
(148,19) (149,19) 78
(149,19) (148,19) 30
(149,19) (150,19) 160
(150,19) (149,19) 189
(1,20) (2,20) 194
(2,20) (1,20) 49
(2,20) (3,20) 68
(3,20) (2,20) 70
(3,20) (4,20) 6
(4,20) (3,20) 71
(4,20) (5,20) 193
(5,20) (4,20) 150
(5,20) (6,20) 115
(6,20) (5,20) 184
(6,20) (7,20) 67
(7,20) (6,20) 158
(7,20) (8,20) 88
(8,20) (7,20) 169
(8,20) (9,20) 182
(9,20) (8,20) 88
(9,20) (10,20) 96
(10,20) (9,20) 163
(10,20) (11,20) 161
(11,20) (10,20) 137
(11,20) (12,20) 28
(12,20) (11,20) 35
(12,20) (13,20) 13
(13,20) (12,20) 133
(13,20) (14,20) 33
(14,20) (13,20) 157
(14,20) (15,20) 164
(15,20) (14,20) 175
(15,20) (16,20) 76
(16,20) (15,20) 101
(16,20) (17,20) 79
(17,20) (16,20) 20
(17,20) (18,20) 2
(18,20) (17,20) 108
(18,20) (19,20) 32
(19,20) (18,20) 115
(19,20) (20,20) 52
(20,20) (19,20) 132
(20,20) (21,20) 150
(21,20) (20,20) 3
(21,20) (22,20) 152
(22,20) (21,20) 57
(22,20) (23,20) 103
(23,20) (22,20) 32
(23,20) (24,20) 51
(24,20) (23,20) 43
(24,20) (25,20) 72
(25,20) (24,20) 172
(25,20) (26,20) 2
(26,20) (25,20) 28
(26,20) (27,20) 111
(27,20) (26,20) 198
(27,20) (28,20) 63
(28,20) (27,20) 106
(28,20) (29,20) 18
(29,20) (28,20) 114
(29,20) (30,20) 184
(30,20) (29,20) 121
(30,20) (31,20) 120
(31,20) (30,20) 93
(31,20) (32,20) 84
(32,20) (31,20) 96
(32,20) (33,20) 68
(33,20) (32,20) 179
(33,20) (34,20) 7
(34,20) (33,20) 103
(34,20) (35,20) 171
(35,20) (34,20) 38
(35,20) (36,20) 37
(36,20) (35,20) 82
(36,20) (37,20) 187
(37,20) (36,20) 37
(37,20) (38,20) 43
(38,20) (37,20) 164
(38,20) (39,20) 3
(39,20) (38,20) 47
(39,20) (40,20) 121
(40,20) (39,20) 196
(40,20) (41,20) 42
(41,20) (40,20) 114
(41,20) (42,20) 179
(42,20) (41,20) 92
(42,20) (43,20) 151
(43,20) (42,20) 189
(43,20) (44,20) 151
(44,20) (43,20) 68
(44,20) (45,20) 71
(45,20) (44,20) 198
(45,20) (46,20) 81
(46,20) (45,20) 162
(46,20) (47,20) 150
(47,20) (46,20) 184
(47,20) (48,20) 105
(48,20) (47,20) 91
(48,20) (49,20) 12
(49,20) (48,20) 5
(49,20) (50,20) 31
(50,20) (49,20) 115
(50,20) (51,20) 105
(51,20) (50,20) 92
(51,20) (52,20) 45
(52,20) (51,20) 53
(52,20) (53,20) 43
(53,20) (52,20) 39
(53,20) (54,20) 66
(54,20) (53,20) 55
(54,20) (55,20) 59
(55,20) (54,20) 60
(55,20) (56,20) 62
(56,20) (55,20) 110
(56,20) (57,20) 137
(57,20) (56,20) 102
(57,20) (58,20) 73
(58,20) (57,20) 129
(58,20) (59,20) 68
(59,20) (58,20) 39
(59,20) (60,20) 47
(60,20) (59,20) 132
(60,20) (61,20) 147
(61,20) (60,20) 44
(61,20) (62,20) 190
(62,20) (61,20) 60
(62,20) (63,20) 49
(63,20) (62,20) 149
(63,20) (64,20) 16
(64,20) (63,20) 153
(64,20) (65,20) 27
(65,20) (64,20) 16
(65,20) (66,20) 35
(66,20) (65,20) 101
(66,20) (67,20) 85
(67,20) (66,20) 161
(67,20) (68,20) 78
(68,20) (67,20) 16
(68,20) (69,20) 131
(69,20) (68,20) 143
(69,20) (70,20) 183
(70,20) (69,20) 117
(70,20) (71,20) 100
(71,20) (70,20) 69
(71,20) (72,20) 23
(72,20) (71,20) 69
(72,20) (73,20) 32
(73,20) (72,20) 108
(73,20) (74,20) 190
(74,20) (73,20) 102
(74,20) (75,20) 122
(75,20) (74,20) 154
(75,20) (76,20) 99
(76,20) (75,20) 47
(76,20) (77,20) 176
(77,20) (76,20) 130
(77,20) (78,20) 124
(78,20) (77,20) 59
(78,20) (79,20) 199
(79,20) (78,20) 16
(79,20) (80,20) 68
(80,20) (79,20) 175
(80,20) (81,20) 124
(81,20) (80,20) 70
(81,20) (82,20) 106
(82,20) (81,20) 130
(82,20) (83,20) 109
(83,20) (82,20) 7
(83,20) (84,20) 134
(84,20) (83,20) 152
(84,20) (85,20) 142
(85,20) (84,20) 87
(85,20) (86,20) 30
(86,20) (85,20) 43
(86,20) (87,20) 8
(87,20) (86,20) 38
(87,20) (88,20) 71
(88,20) (87,20) 158
(88,20) (89,20) 187
(89,20) (88,20) 144
(89,20) (90,20) 48
(90,20) (89,20) 31
(90,20) (91,20) 124
(91,20) (90,20) 130
(91,20) (92,20) 63
(92,20) (91,20) 33
(92,20) (93,20) 130
(93,20) (92,20) 178
(93,20) (94,20) 7
(94,20) (93,20) 19
(94,20) (95,20) 43
(95,20) (94,20) 107
(95,20) (96,20) 81
(96,20) (95,20) 65
(96,20) (97,20) 3
(97,20) (96,20) 60
(97,20) (98,20) 71
(98,20) (97,20) 101
(98,20) (99,20) 52
(99,20) (98,20) 20
(99,20) (100,20) 120
(100,20) (99,20) 81
(100,20) (101,20) 33
(101,20) (100,20) 29
(101,20) (102,20) 141
(102,20) (101,20) 187
(102,20) (103,20) 172
(103,20) (102,20) 138
(103,20) (104,20) 98
(104,20) (103,20) 173
(104,20) (105,20) 32
(105,20) (104,20) 94
(105,20) (106,20) 112
(106,20) (105,20) 185
(106,20) (107,20) 72
(107,20) (106,20) 74
(107,20) (108,20) 168
(108,20) (107,20) 174
(108,20) (109,20) 78
(109,20) (108,20) 130
(109,20) (110,20) 66
(110,20) (109,20) 113
(110,20) (111,20) 152
(111,20) (110,20) 36
(111,20) (112,20) 51
(112,20) (111,20) 82
(112,20) (113,20) 53
(113,20) (112,20) 62
(113,20) (114,20) 85
(114,20) (113,20) 81
(114,20) (115,20) 174
(115,20) (114,20) 172
(115,20) (116,20) 80
(116,20) (115,20) 190
(116,20) (117,20) 87
(117,20) (116,20) 107
(117,20) (118,20) 198
(118,20) (117,20) 91
(118,20) (119,20) 20
(119,20) (118,20) 13
(119,20) (120,20) 133
(120,20) (119,20) 86
(120,20) (121,20) 177
(121,20) (120,20) 89
(121,20) (122,20) 93
(122,20) (121,20) 102
(122,20) (123,20) 89
(123,20) (122,20) 30
(123,20) (124,20) 17
(124,20) (123,20) 41
(124,20) (125,20) 200
(125,20) (124,20) 36
(125,20) (126,20) 98
(126,20) (125,20) 103
(126,20) (127,20) 92
(127,20) (126,20) 23
(127,20) (128,20) 95
(128,20) (127,20) 7
(128,20) (129,20) 174
(129,20) (128,20) 168
(129,20) (130,20) 1
(130,20) (129,20) 69
(130,20) (131,20) 191
(131,20) (130,20) 194
(131,20) (132,20) 67
(132,20) (131,20) 44
(132,20) (133,20) 149
(133,20) (132,20) 14
(133,20) (134,20) 175
(134,20) (133,20) 37
(134,20) (135,20) 165
(135,20) (134,20) 4
(135,20) (136,20) 11
(136,20) (135,20) 164
(136,20) (137,20) 122
(137,20) (136,20) 199
(137,20) (138,20) 98
(138,20) (137,20) 108
(138,20) (139,20) 123
(139,20) (138,20) 43
(139,20) (140,20) 182
